file_hash	file_size	file_path
95d4e093a885c0e6a337c4d96d1ef9d12093d375c2345106ff0d79037cf46b6f	6172326	/Volumes/music/James Brown/James Brown-Make It Funky-The Big Payback-1971-1975-Cd 2/02 - Stoned To the Bone.mp3
95d4e093a885c0e6a337c4d96d1ef9d12093d375c2345106ff0d79037cf46b6f	6172326	/Volumes/music/James Brown/Make It Funky - The Big Payback-1971-1975 (Disc 2)/02 Stoned To the Bone.mp3
795fdb03dceb6f43f29118935018da8b420a28dee184b73f970ef145c743b3ef	1006783	/Volumes/music/James Brown/James Brown-Messing with the blues-Cd 1/13 - Love Don't Love Nobody ( False Start ) .mp3
795fdb03dceb6f43f29118935018da8b420a28dee184b73f970ef145c743b3ef	1006783	/Volumes/music/James Brown/Messing With The Blues/13 Love Don't Love Nobody [#].mp3
5f7d1a08e04ffd112d77c7a5aaea3149c1e2f1dc761480c66ff0a0f6ed0fdfa4	6638594	/Volumes/music/James Brown/James Brown-Messing with the blues-Cd 2/03-Need Your Love So Bad.mp3
5f7d1a08e04ffd112d77c7a5aaea3149c1e2f1dc761480c66ff0a0f6ed0fdfa4	6638594	/Volumes/music/James Brown/Messing With The Blues (disc 2)/03 Need Your Love So Bad.mp3
ed81848455d7a730135b94f6832287c72b60a06c4cb1c413fa000ad4c2f1c7ee	7347074	/Volumes/music/James Brown/At Studio 54 (Remastered)/12 Jam.mp3
ed81848455d7a730135b94f6832287c72b60a06c4cb1c413fa000ad4c2f1c7ee	7347074	/Volumes/music/James Brown/James Brown-At Studio 54-Remastered-2006/12-jam-[www.pctrecords.com].mp3
865421ca92e38a1312bce31664b8f812e4d2313a5aadc10cdef54e840eae508f	3660293	/Volumes/music/James Brown/James Brown-Messing with the blues-Cd 1/11 - Blues For My Baby .mp3
865421ca92e38a1312bce31664b8f812e4d2313a5aadc10cdef54e840eae508f	3660293	/Volumes/music/James Brown/Messing With The Blues/11 Blues For My Baby [#].mp3
670f25ff638bc196e910de5e4ba784796daa82d0cb857e044eceede505a9886e	4652655	/Volumes/music/James Brown/James Brown-Zaire soul-2000/James Brown - Zaire Soul -19 - Please, Please, Please..mp3
670f25ff638bc196e910de5e4ba784796daa82d0cb857e044eceede505a9886e	4652655	/Volumes/music/James Brown/Live Zaire 1974/Please, Please, Please.mp3
06866ef40894a72b2851f801a4c6e0c2cd3d557f73e1d9a49b344d5762286e50	11225880	/Volumes/music/James Brown/James Brown-Make It Funky-The Big Payback-1971-1975-Cd 2/07 - I Can't Stand It '76'.mp3
06866ef40894a72b2851f801a4c6e0c2cd3d557f73e1d9a49b344d5762286e50	11225880	/Volumes/music/James Brown/Make It Funky - The Big Payback-1971-1975 (Disc 2)/07 I Can't Stand It _76_.mp3
d1adb077064e4bbec3e0431410e22d3905f428ce6942e19024c5e26ad161396b	5568640	/Volumes/music/James Brown/James Brown-Messing with the blues-Cd 2/04-Like A Baby.mp3
d1adb077064e4bbec3e0431410e22d3905f428ce6942e19024c5e26ad161396b	5568640	/Volumes/music/James Brown/Messing With The Blues (disc 2)/04 Like A Baby.mp3
a635c90f7838cb68483e2942c8a3357243fcac60f141c81dc4473d55d2c97dfd	3255612	/Volumes/music/Dead Kennedys/Give_Me_Convenience_Or_Give_Me_Death/Dead_Kennedys_-_Give_Me_Convenience_Or_Give_Me_Death_-_01_-_Police_Truck.mp3
a635c90f7838cb68483e2942c8a3357243fcac60f141c81dc4473d55d2c97dfd	3255612	/Volumes/music/Dead Kennedys/Jello's_Revenge_Bootleg/Dead_Kennedys_-_Jello's_Revenge_Bootleg_Part_I_10-25-79_-_01_-_Police_Truck.mp3
a635c90f7838cb68483e2942c8a3357243fcac60f141c81dc4473d55d2c97dfd	3255612	/Volumes/music/Dead Kennedys/Live_In_Los_Angeles/Dead_Kennedys_-_Live_In_Los_Angeles_-_01_-_Police_Truck.mp3
a635c90f7838cb68483e2942c8a3357243fcac60f141c81dc4473d55d2c97dfd	3255612	/Volumes/music/Dead Kennedys/Never_Been_On_MTV_(Bootleg)/Dead_Kennedys_-_Never_Been_On_MTV_(Bootleg)_-_01_-_Police_Truck.mp3
b2e478e6125644eadf43caeb57e67b5432ae3d5d5be4e364350b3fcaa9c9797e	22613242	/Volumes/music/James Brown/At Studio 54 (Remastered)/08 It's A Man's, Man's, Man's World - Lost Somewhere - It's A Man's, Man's, Man's World.mp3
b2e478e6125644eadf43caeb57e67b5432ae3d5d5be4e364350b3fcaa9c9797e	22613242	/Volumes/music/James Brown/James Brown-At Studio 54-Remastered-2006/08-its_a_mans_mans_mans_world-lost_somewhere-its_a_mans_mans_mans_world-[www.pctrecords.com].mp3
98881ecc941db969681fe3bb824f43e06562231f9909a6fd832a4707e0684cc1	5934890	/Volumes/music/James Brown/James Brown-Messing with the blues-Cd 2/06-Suffering With The Blues.mp3
98881ecc941db969681fe3bb824f43e06562231f9909a6fd832a4707e0684cc1	5934890	/Volumes/music/James Brown/Messing With The Blues (disc 2)/06 Suffering With The Blues.mp3
753d4e160fdfa7edddb780c8de7d0ef7455745f420d0707846c337b5864448a2	4415030	/Volumes/music/Donny Osmond 18 LP-CD 1970s-2000s Discography/Donny Osmond - Donny Osmond '89 (UK) - 09 - Only Heaven Knows.mp3
753d4e160fdfa7edddb780c8de7d0ef7455745f420d0707846c337b5864448a2	4415030	/Volumes/music/Donny Osmond 18 LP-CD 1970s-2000s Discography/Donny Osmond - Donny Osmond '89 - 09 - Only Heaven Knows.mp3
579b301b061a4555340bc109352998cdc6338a2b4a2b6f790ceffe197540fe6b	6168466	/Volumes/music/James Brown/James Brown-Zaire soul-2000/James Brown - Zaire Soul -14- Try Me..mp3
579b301b061a4555340bc109352998cdc6338a2b4a2b6f790ceffe197540fe6b	6168466	/Volumes/music/James Brown/Live Zaire 1974/Try Me.mp3
18b65e3c8a1b076505020f5e1e256fd85a73ac424cf47f82084aa4425bb9ea13	4983148	/Volumes/music/Donny Osmond 18 LP-CD 1970s-2000s Discography/Donny Osmond - Donny Osmond '89 (UK) - 06 - Sacred Emotion.mp3
18b65e3c8a1b076505020f5e1e256fd85a73ac424cf47f82084aa4425bb9ea13	4983148	/Volumes/music/Donny Osmond 18 LP-CD 1970s-2000s Discography/Donny Osmond - Donny Osmond '89 - 03 - Sacred Emotion.mp3
0cc66c0648ad2c78190d264787c621314704be378a1f9c389de10f8875511a58	5706784	/Volumes/music/James Brown/James Brown-Make It Funky-The Big Payback-1971-1975-Cd 2/03 - Mind Power.mp3
